B) Year Established,Unnamed: 224,Unnamed: 141,Unnamed: 52,W) Measurement Instruments Used,Subagency,Unnamed: 43,Unnamed: 237,I4) Adult Learners Targeted?,Unnamed: 106,Unnamed: 13,Agency,Y3) Process or Implementation Evaluation Type,Unnamed: 252,Unnamed: 21,Unnamed: 222,Unnamed: 92,Y1) Formative Evaluation Type,Unnamed: 34,U) Measured Outputs,Unnamed: 139,Q) Legislation Required to Shift Focus?,J) Focus on Underrepresented Groups in STEM,Unnamed: 94,Unnamed: 99,G3) Research Approaches Not Used,Unnamed: 20,I1) STEM Learners Targeted? Specify.,S) Investment Partnerships,Unnamed: 145,Unnamed: 26,Unnamed: 18,Y2) Summative Evaluation Type,Unnamed: 46,N) STEM Discipline Focus,Unnamed: 226,Y4) Portfolio Evaluation/Review Type,Unnamed: 131,Unnamed: 41,Unnamed: 15,Unnamed: 39,Unnamed: 217,Unnamed: 253,Unnamed: 38,H) Educational Services or Products Produced,Unnamed: 188,Unnamed: 159,Unnamed: 36,L) Minority Serving Institutions,F1) Primary Investment Objective,Unnamed: 82,Unnamed: 83,Unnamed: 148,Unnamed: 227,Unnamed: 206,T) Partnerships with What Organization Types?,Unnamed: 156,Unnamed: 247,Unnamed: 190,Unnamed: 199,Unnamed: 201,Unnamed: 110,Unnamed: 19,Unnamed: 111, C1) Funding FY2008 , C2) Funding FY2009 , C3) Funding FY2010 
2009,0,129,0,0,49,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8,2.2
1999,0,135,0,0,31,0,0,2,0,0,7,0,0,0,0,36,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.318,0.33,0.695
2002,39,0,0,70,11,0,35,0,0,1,11,1,0,1,0,0,1,1,2,1,1,1,0,0,0,1,2,4,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,47.87,85.99,57.93
2010,0,0,0,27,6,0,0,0,0,0,10,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,2,4,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.3
1998,0,0,1,0,11,0,0,0,0,1,11,0,0,0,1,0,0,0,2,0,1,2,0,0,0,0,2,3,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,29.74,31.13,32.06
2002,0,0,1,55,11,0,0,0,0,1,11,1,0,0,1,0,0,1,2,1,1,1,0,0,1,0,2,2,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,5,1,0,0,1,0,1,1,1,1,0,0,0,0,0,29.48,29.09,31.64
2000,26,122,1,0,31,0,0,0,1,1,7,0,0,33,2,0,0,0,2,0,2,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18.57,25.69,24.441999999999997
2010,15,0,0,52,62,0,0,0,0,0,10,1,1,6,0,28,1,0,1,0,2,1,0,0,1,1,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,11,0,1,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.0,0.924,0.885
2004,0,0,0,0,51,0,0,0,0,0,11,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1.75,1.52,1.74
1990,0,0,0,4,55,0,0,0,0,1,4,0,0,0,1,0,0,0,2,0,3,2,0,0,1,0,2,3,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,31.186,35.204,34.873000000000005
