,%growth
0,37.21374046
1,0
2,0
3,157.9868709
4,68.09815951
5,0
6,1.818181818
7,69.16267444
8,20.42927733
9,7.765567766
10,-13.14285714
11,-8.055009823
12,0.75787019
13,9.603004292
14,0
15,-7.540394973
16,30.8707124
17,79.63233758
18,60.31594064
19,108.9009991
20,-1.322930801
21,5.676855895
22,55.7195572
23,38.48920863
24,16.81034483
25,9.229219144
26,2.256361018
27,1.970519783
28,85.18518519
29,45.84382872
30,99.13043478
31,8.391167192
32,4.609375
33,4.673839946
34,5.01606128
35,16.02023609
36,9.536082474
37,108.0895009
38,274.3055556
39,-10.25641026
40,0
41,0
42,0
43,12.06896552
44,-5.14084507
45,-1.95
46,-1.521060842
47,-12.89111389
48,0
49,158.7697423
50,52.74261603
51,-23.63273453
52,0
53,-3.558208053
54,27.17770035
55,0
56,0
57,151.0917031
58,13.91752577
59,0
60,-34.4773791
61,-17.83333333
62,-7
63,2.777777778
64,-10.03344482
65,0
66,-16.62763466
67,57.65306122
68,4.601579325
69,0
70,0
71,-17.30769231
72,0
73,0
74,-65.41666667
75,34.48275862
76,12.24489796
77,-21.70385396
78,-16.66666667
79,0
80,3.325123153
81,-12.76595745
82,-46.75485227
83,25
84,42.85714286
85,0
86,0
87,483.4394904
88,0
89,20
90,27.44063325
91,20
92,0
93,10
94,0
95,-0.862068966
96,5.659362818
97,0
98,0
99,14.92537313
100,66.66666667
101,0
102,4.347826087
103,-5
104,6.666666667
105,1400
106,73.68421053
107,-11.53846154
108,1.033170201
109,9.814467879
110,0
111,-25
112,116.6666667
113,0
114,-7.692307692
115,-48.4557393
116,0
117,0
118,0
119,0
120,20.54545455
121,0
122,0
123,26.17159337
124,91.53225806
125,178.2608696
126,-2.941176471
127,0
128,0
129,5.449591281
130,0
131,6.666666667
132,-3.39673913
133,2.707930368
134,0
135,0
136,103.7858302
137,516.8
138,0
139,5.568862275
140,11.70212766
141,-3.329461866
142,-8.463949843
143,-31.56039059
144,335.0183449
145,-20.4059498
146,0
147,0
148,0
149,0
150,3.333333333
151,0
152,88.69198312
153,0
154,-74.82014388
155,150.1943005
156,12.8839864
157,-1.559792028
158,101.0963195
159,-1.418181818
160,7.643678161
161,5.487804878
162,1.570680628
163,0
164,4.995357474
165,0
166,-3.852160333
167,0
168,-34.29355281
169,0
170,0.079428118
171,18.22910024
172,2.85283083
173,16.77702802
174,26.75375805
175,3.773584906
176,10.19202363
177,35.83287721
178,38.34141088
179,81.72715895
180,69.38616939
181,122.0204688
182,37.23660632
183,8.262994225
184,17.16947375
185,0
186,54.7630679
187,2.100840336
188,34.33098592
189,104.3103448
190,180.7086614
191,32
192,-5.681818182
193,-0.278551532
194,-11.42857143
195,0
196,4.545454545
197,-52.95663601
198,0.52480916
199,0
200,4.938271605
201,13.86321627
202,0
203,100.0694927
204,114.893617
205,0
206,0
207,217.4603175
208,0
209,-0.193423598
210,8.484092327
211,0
212,-3.475578406
213,0
214,0
215,0
216,7.334273625
217,0
218,0
219,0
220,100
221,4.240815588
222,24.18439716
223,0
224,103.2128514
225,9.086206897
226,3.571428571
227,-53.20754717
228,22.70058708
229,41.05793451
230,0
231,12.10924381
232,1.427842937
233,1.436265709
234,0.934579439
235,6.818181818
236,41.8
237,32.47863248
238,41.91268996
239,0
240,-28.57142857
241,0
242,60
243,26.55367232
244,25.68306011
245,-2.994428969
246,-33.74458874
247,12.53701876
248,0
249,2.100840336
250,0
251,75.77319588
252,19.93499807
